(('BROOKLYN', datetime.datetime(2015, 11, 1, 0, 0), 1), 424)
(('BROOKLYN', datetime.datetime(2015, 11, 8, 0, 0), 0), 352)
(('MANHATTAN', datetime.datetime(1000, 1, 1, 0, 0), -99), 142)
(('MANHATTAN', datetime.datetime(1000, 1, 1, 0, 0), -9), 1204042)
(('MANHATTAN', datetime.datetime(2006, 8, 27, 0, 0), 1), 278)
(('MANHATTAN', datetime.datetime(2006, 9, 3, 0, 0), 0), 300)
(('MANHATTAN', datetime.datetime(2006, 11, 5, 0, 0), 1), 294)
(('MANHATTAN', datetime.datetime(2006, 11, 12, 0, 0), 0), 302)
(('MANHATTAN', datetime.datetime(2007, 8, 5, 0, 0), 1), 319)
(('MANHATTAN', datetime.datetime(2007, 8, 12, 0, 0), 0), 372)
(('MANHATTAN', datetime.datetime(2007, 10, 28, 0, 0), 0), 296)
(('MANHATTAN', datetime.datetime(2007, 11, 4, 0, 0), 1), 293)
(('MANHATTAN', datetime.datetime(2008, 7, 27, 0, 0), 1), 295)
(('MANHATTAN', datetime.datetime(2008, 8, 3, 0, 0), 0), 339)
(('MANHATTAN', datetime.datetime(2008, 11, 2, 0, 0), 1), 297)
(('MANHATTAN', datetime.datetime(2008, 11, 9, 0, 0), 0), 302)
(('MANHATTAN', datetime.datetime(2009, 8, 26, 0, 0), 1), 396)
(('MANHATTAN', datetime.datetime(2009, 9, 2, 0, 0), 0), 372)
(('MANHATTAN', datetime.datetime(2009, 11, 1, 0, 0), 1), 422)
(('MANHATTAN', datetime.datetime(2009, 11, 8, 0, 0), 0), 299)
(('MANHATTAN', datetime.datetime(2010, 3, 21, 0, 0), 1), 350)
(('MANHATTAN', datetime.datetime(2010, 3, 28, 0, 0), 0), 287)
(('MANHATTAN', datetime.datetime(2010, 11, 7, 0, 0), 1), 298)
(('MANHATTAN', datetime.datetime(2010, 11, 14, 0, 0), 0), 293)
(('MANHATTAN', datetime.datetime(2011, 3, 20, 0, 0), 1), 292)
(('MANHATTAN', datetime.datetime(2011, 3, 27, 0, 0), 0), 278)
(('MANHATTAN', datetime.datetime(2011, 11, 6, 0, 0), 1), 287)
(('MANHATTAN', datetime.datetime(2011, 11, 13, 0, 0), 0), 291)
(('MANHATTAN', datetime.datetime(2012, 3, 18, 0, 0), 1), 317)
(('MANHATTAN', datetime.datetime(2012, 3, 25, 0, 0), 0), 312)
(('MANHATTAN', datetime.datetime(2012, 11, 2, 0, 0), 1), 214)
(('MANHATTAN', datetime.datetime(2012, 11, 9, 0, 0), 0), 315)
(('MANHATTAN', datetime.datetime(2013, 3, 17, 0, 0), 1), 276)
(('MANHATTAN', datetime.datetime(2013, 3, 24, 0, 0), 0), 273)
(('MANHATTAN', datetime.datetime(2013, 11, 3, 0, 0), 1), 262)
(('MANHATTAN', datetime.datetime(2013, 11, 10, 0, 0), 0), 296)
(('MANHATTAN', datetime.datetime(2014, 3, 16, 0, 0), 1), 257)
(('MANHATTAN', datetime.datetime(2014, 3, 23, 0, 0), 0), 273)
(('MANHATTAN', datetime.datetime(2014, 11, 2, 0, 0), 1), 250)
(('MANHATTAN', datetime.datetime(2014, 11, 9, 0, 0), 0), 276)
(('MANHATTAN', datetime.datetime(2015, 3, 15, 0, 0), 1), 258)
(('MANHATTAN', datetime.datetime(2015, 3, 22, 0, 0), 0), 282)
(('MANHATTAN', datetime.datetime(2015, 11, 1, 0, 0), 1), 388)
(('MANHATTAN', datetime.datetime(2015, 11, 8, 0, 0), 0), 264)
(('QUEENS', datetime.datetime(1000, 1, 1, 0, 0), -99), 170)
(('QUEENS', datetime.datetime(1000, 1, 1, 0, 0), -9), 1000168)
(('QUEENS', datetime.datetime(2006, 8, 27, 0, 0), 1), 265)
(('QUEENS', datetime.datetime(2006, 9, 3, 0, 0), 0), 266)
(('QUEENS', datetime.datetime(2006, 11, 5, 0, 0), 1), 281)
(('QUEENS', datetime.datetime(2006, 11, 12, 0, 0), 0), 275)
(('QUEENS', datetime.datetime(2007, 8, 5, 0, 0), 1), 296)
(('QUEENS', datetime.datetime(2007, 8, 12, 0, 0), 0), 280)
(('QUEENS', datetime.datetime(2007, 10, 28, 0, 0), 0), 247)
(('QUEENS', datetime.datetime(2007, 11, 4, 0, 0), 1), 278)
(('QUEENS', datetime.datetime(2008, 7, 27, 0, 0), 1), 324)
(('QUEENS', datetime.datetime(2008, 8, 3, 0, 0), 0), 287)
(('QUEENS', datetime.datetime(2008, 11, 2, 0, 0), 1), 278)
(('QUEENS', datetime.datetime(2008, 11, 9, 0, 0), 0), 284)
(('QUEENS', datetime.datetime(2009, 8, 26, 0, 0), 1), 307)
(('QUEENS', datetime.datetime(2009, 9, 2, 0, 0), 0), 286)
(('QUEENS', datetime.datetime(2009, 11, 1, 0, 0), 1), 372)
(('QUEENS', datetime.datetime(2009, 11, 8, 0, 0), 0), 260)
(('QUEENS', datetime.datetime(2010, 3, 21, 0, 0), 1), 266)
(('QUEENS', datetime.datetime(2010, 3, 28, 0, 0), 0), 211)
(('QUEENS', datetime.datetime(2010, 11, 7, 0, 0), 1), 249)
(('QUEENS', datetime.datetime(2010, 11, 14, 0, 0), 0), 258)
(('QUEENS', datetime.datetime(2011, 3, 20, 0, 0), 1), 244)
(('QUEENS', datetime.datetime(2011, 3, 27, 0, 0), 0), 227)
(('QUEENS', datetime.datetime(2011, 11, 6, 0, 0), 1), 249)
(('QUEENS', datetime.datetime(2011, 11, 13, 0, 0), 0), 266)
(('QUEENS', datetime.datetime(2012, 3, 18, 0, 0), 1), 267)
(('QUEENS', datetime.datetime(2012, 3, 25, 0, 0), 0), 266)
(('QUEENS', datetime.datetime(2012, 11, 2, 0, 0), 1), 187)
(('QUEENS', datetime.datetime(2012, 11, 9, 0, 0), 0), 252)
(('QUEENS', datetime.datetime(2013, 3, 17, 0, 0), 1), 233)
(('QUEENS', datetime.datetime(2013, 3, 24, 0, 0), 0), 226)
(('QUEENS', datetime.datetime(2013, 11, 3, 0, 0), 1), 267)
(('QUEENS', datetime.datetime(2013, 11, 10, 0, 0), 0), 281)
(('QUEENS', datetime.datetime(2014, 3, 16, 0, 0), 1), 251)
(('QUEENS', datetime.datetime(2014, 3, 23, 0, 0), 0), 247)
(('QUEENS', datetime.datetime(2014, 11, 2, 0, 0), 1), 241)
(('QUEENS', datetime.datetime(2014, 11, 9, 0, 0), 0), 280)
(('QUEENS', datetime.datetime(2015, 3, 15, 0, 0), 1), 334)
(('QUEENS', datetime.datetime(2015, 3, 22, 0, 0), 0), 214)
(('QUEENS', datetime.datetime(2015, 11, 1, 0, 0), 1), 326)
(('QUEENS', datetime.datetime(2015, 11, 8, 0, 0), 0), 236)
(('STATEN ISLAND', datetime.datetime(1000, 1, 1, 0, 0), -99), 22)
(('STATEN ISLAND', datetime.datetime(1000, 1, 1, 0, 0), -9), 241304)
(('STATEN ISLAND', datetime.datetime(2006, 8, 27, 0, 0), 1), 57)
(('STATEN ISLAND', datetime.datetime(2006, 9, 3, 0, 0), 0), 77)
(('STATEN ISLAND', datetime.datetime(2006, 11, 5, 0, 0), 1), 58)
(('STATEN ISLAND', datetime.datetime(2006, 11, 12, 0, 0), 0), 55)
(('STATEN ISLAND', datetime.datetime(2007, 8, 5, 0, 0), 1), 62)
(('STATEN ISLAND', datetime.datetime(2007, 8, 12, 0, 0), 0), 64)
(('STATEN ISLAND', datetime.datetime(2007, 10, 28, 0, 0), 0), 46)
(('STATEN ISLAND', datetime.datetime(2007, 11, 4, 0, 0), 1), 64)
(('STATEN ISLAND', datetime.datetime(2008, 7, 27, 0, 0), 1), 70)
(('STATEN ISLAND', datetime.datetime(2008, 8, 3, 0, 0), 0), 67)
(('STATEN ISLAND', datetime.datetime(2008, 11, 2, 0, 0), 1), 63)
(('STATEN ISLAND', datetime.datetime(2008, 11, 9, 0, 0), 0), 73)
(('STATEN ISLAND', datetime.datetime(2009, 8, 26, 0, 0), 1), 67)
(('STATEN ISLAND', datetime.datetime(2009, 9, 2, 0, 0), 0), 68)
(('STATEN ISLAND', datetime.datetime(2009, 11, 1, 0, 0), 1), 96)
(('STATEN ISLAND', datetime.datetime(2009, 11, 8, 0, 0), 0), 62)
(('STATEN ISLAND', datetime.datetime(2010, 3, 21, 0, 0), 1), 60)
(('STATEN ISLAND', datetime.datetime(2010, 3, 28, 0, 0), 0), 60)
(('STATEN ISLAND', datetime.datetime(2010, 11, 7, 0, 0), 1), 63)
(('STATEN ISLAND', datetime.datetime(2010, 11, 14, 0, 0), 0), 60)
(('STATEN ISLAND', datetime.datetime(2011, 3, 20, 0, 0), 1), 61)
(('STATEN ISLAND', datetime.datetime(2011, 3, 27, 0, 0), 0), 58)
(('STATEN ISLAND', datetime.datetime(2011, 11, 6, 0, 0), 1), 40)
(('STATEN ISLAND', datetime.datetime(2011, 11, 13, 0, 0), 0), 69)
(('STATEN ISLAND', datetime.datetime(2012, 3, 18, 0, 0), 1), 79)
(('STATEN ISLAND', datetime.datetime(2012, 3, 25, 0, 0), 0), 57)
(('STATEN ISLAND', datetime.datetime(2012, 11, 2, 0, 0), 1), 56)
(('STATEN ISLAND', datetime.datetime(2012, 11, 9, 0, 0), 0), 50)
(('STATEN ISLAND', datetime.datetime(2013, 3, 17, 0, 0), 1), 74)
(('STATEN ISLAND', datetime.datetime(2013, 3, 24, 0, 0), 0), 56)
(('STATEN ISLAND', datetime.datetime(2013, 11, 3, 0, 0), 1), 56)
(('STATEN ISLAND', datetime.datetime(2013, 11, 10, 0, 0), 0), 65)
(('STATEN ISLAND', datetime.datetime(2014, 3, 16, 0, 0), 1), 64)
(('STATEN ISLAND', datetime.datetime(2014, 3, 23, 0, 0), 0), 43)
(('STATEN ISLAND', datetime.datetime(2014, 11, 2, 0, 0), 1), 61)
(('STATEN ISLAND', datetime.datetime(2014, 11, 9, 0, 0), 0), 51)
(('STATEN ISLAND', datetime.datetime(2015, 3, 15, 0, 0), 1), 65)
(('STATEN ISLAND', datetime.datetime(2015, 3, 22, 0, 0), 0), 64)
(('STATEN ISLAND', datetime.datetime(2015, 11, 1, 0, 0), 1), 55)
(('STATEN ISLAND', datetime.datetime(2015, 11, 8, 0, 0), 0), 48)
