0-0,0,0,27492
0-1,0,1,67124
0-10,0,10,11033
0-11,0,11,438
0-12,0,12,824
0-13,0,13,583
0-14,0,14,577
0-15,0,15,12638
0-16,0,16,530
0-17,0,17,565
0-18,0,18,694
0-19,0,19,548
0-2,0,2,1190
0-20,0,20,9857
0-21,0,21,446
0-22,0,22,526
0-23,0,23,609
0-24,0,24,624
0-25,0,25,5360
0-26,0,26,489
0-27,0,27,512
0-28,0,28,658
0-29,0,29,493
0-3,0,3,841
0-30,0,30,33365
0-31,0,31,396
0-32,0,32,478
0-33,0,33,516
0-34,0,34,542
0-35,0,35,5023
0-36,0,36,470
0-37,0,37,528
0-38,0,38,697
0-39,0,39,526
0-4,0,4,674
0-40,0,40,8485
0-41,0,41,390
0-42,0,42,558
0-43,0,43,546
0-44,0,44,486
0-45,0,45,9817
0-46,0,46,421
0-47,0,47,518
0-48,0,48,691
0-49,0,49,509
0-5,0,5,12751
0-50,0,50,8580
0-51,0,51,377
0-52,0,52,538
0-53,0,53,521
0-54,0,54,461
0-55,0,55,4286
0-56,0,56,441
0-57,0,57,477
0-58,0,58,681
0-59,0,59,454
0-6,0,6,592
0-7,0,7,595
0-8,0,8,773
0-9,0,9,593
1-0,1,0,57060
1-1,1,1,448
1-10,1,10,8073
1-11,1,11,423
1-12,1,12,538
1-13,1,13,510
1-14,1,14,516
1-15,1,15,9392
1-16,1,16,449
1-17,1,17,506
1-18,1,18,697
1-19,1,19,478
1-2,1,2,431
1-20,1,20,9526
1-21,1,21,381
1-22,1,22,521
1-23,1,23,521
1-24,1,24,486
1-25,1,25,4736
1-26,1,26,426
1-27,1,27,477
1-28,1,28,580
1-29,1,29,403
1-3,1,3,531
1-30,1,30,28362
1-31,1,31,348
1-32,1,32,466
1-33,1,33,494
1-34,1,34,429
1-35,1,35,4208
1-36,1,36,442
1-37,1,37,448
1-38,1,38,664
1-39,1,39,457
1-4,1,4,479
1-40,1,40,8112
1-41,1,41,346
1-42,1,42,446
1-43,1,43,501
1-44,1,44,433
1-45,1,45,8585
1-46,1,46,379
1-47,1,47,459
1-48,1,48,560
1-49,1,49,417
1-5,1,5,4398
1-50,1,50,8252
1-51,1,51,304
1-52,1,52,414
1-53,1,53,381
1-54,1,54,366
1-55,1,55,3676
1-56,1,56,404
1-57,1,57,416
1-58,1,58,553
1-59,1,59,346
1-6,1,6,465
1-7,1,7,513
1-8,1,8,695
1-9,1,9,541
10-0,10,0,83969
10-1,10,1,285
10-10,10,10,4330
10-11,10,11,342
10-12,10,12,477
10-13,10,13,398
10-14,10,14,391
10-15,10,15,9262
10-16,10,16,330
10-17,10,17,432
10-18,10,18,467
10-19,10,19,388
10-2,10,2,357
10-20,10,20,6791
10-21,10,21,301
10-22,10,22,449
10-23,10,23,409
10-24,10,24,394
10-25,10,25,3172
10-26,10,26,378
10-27,10,27,446
10-28,10,28,467
10-29,10,29,426
10-3,10,3,427
10-30,10,30,36168
10-31,10,31,312
10-32,10,32,380
10-33,10,33,325
10-34,10,34,353
10-35,10,35,2880
10-36,10,36,398
10-37,10,37,411
10-38,10,38,517
10-39,10,39,411
10-4,10,4,320
10-40,10,40,6563
10-41,10,41,345
10-42,10,42,459
10-43,10,43,485
10-44,10,44,413
10-45,10,45,9511
10-46,10,46,399
10-47,10,47,424
10-48,10,48,559
10-49,10,49,362
10-5,10,5,2443
10-50,10,50,6987
10-51,10,51,304
10-52,10,52,426
10-53,10,53,384
10-54,10,54,424
10-55,10,55,3095
10-56,10,56,374
10-57,10,57,390
10-58,10,58,563
10-59,10,59,429
10-6,10,6,380
10-7,10,7,331
10-8,10,8,405
10-9,10,9,329
11-0,11,0,71247
11-1,11,1,334
11-10,11,10,5462
11-11,11,11,427
11-12,11,12,487
11-13,11,13,458
11-14,11,14,462
11-15,11,15,10273
11-16,11,16,356
11-17,11,17,443
11-18,11,18,556
11-19,11,19,437
11-2,11,2,416
11-20,11,20,8179
11-21,11,21,326
11-22,11,22,450
11-23,11,23,517
11-24,11,24,542
11-25,11,25,4156
11-26,11,26,409
11-27,11,27,467
11-28,11,28,580
11-29,11,29,423
11-3,11,3,469
11-30,11,30,37897
11-31,11,31,322
11-32,11,32,450
11-33,11,33,494
11-34,11,34,471
11-35,11,35,3647
11-36,11,36,464
11-37,11,37,450
11-38,11,38,640
11-39,11,39,448
11-4,11,4,400
11-40,11,40,8090
