2010,2011,2012,2013,2014,2015,Borough,,,
Middletown Rd 6 subway  ,,,,,,,,,
"546,692","559,746","566,771","441,950","661,242","795,762",Bronx ,,,
Morris Park  5 subway,,,,,,,,,
"535,823","554,320","589,170","631,930","621,945","629,282",Bronx ,,,
Morrison Av-Soundview 6 subway,,,,,,,,,
"730,517","3,028,145","2,057,570","2,096,942","2,125,383","2,097,203",Bronx ,,,
Mosholu Pkwy  4 subway,,,,,,,,,
"2,913,786","2,961,522","2,906,150","2,917,501","2,886,764","2,891,451",Bronx ,,,
Mt Eden Av  4 subway ,,,,,,,,,
"1,843,698","1,814,951","1,818,870","1,848,483","1,824,861","1,844,131",Bronx ,,,
Nereid Av  2 subway 5 subway,,,,,,,,,
"1,001,851","1,025,004","1,086,227","1,195,804","1,183,733","1,162,973",Bronx ,,,
Norwood-205 St D subway,,,,,,,,,
"2,410,949","2,472,094","2,463,462","2,569,581","2,709,761","2,750,124",Bronx ,,,
Parkchester 6 subway,,,,,,,,,
"3,944,729","4,851,182","4,687,402","5,215,409","5,586,943","5,224,959",Bronx ,,,
Pelham Bay Park 6 subway,,,,,,,,,
"1,997,392","2,062,525","2,030,215","2,096,130","2,318,533","2,337,689",Bronx ,,,
Pelham Pkwy  2 subway 5 subway,,,,,,,,,
"2,703,568","2,701,431","2,882,651","3,028,494","3,084,862","3,066,190",Bronx ,,,
Pelham Pkwy  5 subway,,,,,,,,,
"883,490","897,433","923,188","919,689","907,735","894,727",Bronx ,,,
Prospect Av  2 subway 5 subway,,,,,,,,,
"2,326,054","2,209,945","2,125,066","2,311,798","2,445,131","2,394,820",Bronx ,,,
Simpson St  2 subway 5 subway,,,,,,,,,
"3,057,192","2,901,513","2,810,789","3,027,856","3,121,036","3,048,014",Bronx ,,,
St Lawrence Av 6 subway,,,,,,,,,
"1,655,340","463,809","1,212,796","1,280,074","1,315,456","1,320,571",Bronx ,,,
Tremont Av  B subway D subway,,,,,,,,,
"2,709,632","2,772,602","2,791,329","2,952,385","3,130,848","3,155,197",Bronx ,,,
Van Cortlandt Park-242 St 1 subway,,,,,,,,,
"1,878,788","1,937,333","2,041,551","2,148,667","2,188,428","2,266,986",Bronx ,,,
Wakefield-241 St 2 subway,,,,,,,,,
"1,471,501","1,560,698","1,603,076","1,528,793","1,669,608","1,654,707",Bronx ,,,
West Farms Sq-East Tremont Av 2 subway 5 subway,,,,,,,,,
"2,520,377","2,391,352","2,428,999","2,514,240","2,567,773","2,437,882",Bronx ,,,
Westchester Sq-East Tremont Av 6 subway,,,,,,,,,
"1,885,522","1,993,343","1,964,525","2,043,649","2,177,402","2,056,555",Bronx ,,,
Whitlock Av 6 subway ,,,,,,,,,
"163,461","726,747","524,988","534,489","543,798","545,079",Bronx ,,,
Woodlawn  4 subway,,,,,,,,,
"2,379,276","2,494,092","2,417,765","2,423,278","2,375,663","2,418,890",Bronx ,,,
Zerega Av 6 subway ,,,,,,,,,
"759,280","825,755","849,815","985,388","599,478","492,883",Bronx ,,,
15 St-Prospect Park F subway G subway,,,,,,,,,
"1,922,348","1,449,241","1,852,346","2,005,424","2,017,347","2,011,237",Brooklyn,,,
18 Av  D subway,,,,,,,,,
"1,752,952","1,654,305","1,661,770","1,954,729","1,996,205","1,925,239",Brooklyn,,,
18 Av  F subway,,,,,,,,,
"1,287,551","1,306,839","1,294,568","1,313,344","1,277,024","1,392,552",Brooklyn,,,
18 Av N subway,,,,,,,,,
"1,676,056","1,828,462","1,819,255","1,641,928","1,775,695","1,784,992",Brooklyn,,,
20 Av  D subway,,,,,,,,,
"1,409,313","1,370,001","1,377,648","1,547,029","1,564,060","1,592,525",Brooklyn,,,
20 Av  N subway,,,,,,,,,
"1,194,973","1,220,065","1,245,145","1,286,961","1,305,487","1,279,525",Brooklyn,,,
25 Av  D subway,,,,,,,,,
"1,328,491","1,266,146","1,206,526","1,421,090","1,488,192","1,508,412",Brooklyn,,,
25 St  R subway,,,,,,,,,
"1,208,827","1,243,737","1,198,226","1,218,842","1,274,939","1,221,949",Brooklyn,,,
36 St  D subway N subway R subway,,,,,,,,,
"3,567,832","3,659,139","3,772,420","3,826,400","3,970,318","4,138,929",Brooklyn,,,
4 Av F subway G subway /9 St R subway,,,,,,,,,
"3,672,622","4,020,665","4,300,400","4,210,873","4,120,946","4,199,208",Brooklyn,,,
45 St  R subway,,,,,,,,,
"2,284,356","2,328,141","2,255,877","2,251,217","2,323,521","2,321,241",Brooklyn,,,
50 St  D subway,,,,,,,,,
"942,902","897,609","941,157","1,021,409","1,009,971","968,612",Brooklyn,,,
53 St  R subway ,,,,,,,,,
"2,370,851","2,401,105","2,357,449","2,387,370","2,405,353","2,374,338",Brooklyn,,,
55 St  D subway,,,,,,,,,
"580,913","586,282","546,080","601,931","603,320","595,157",Brooklyn,,,
59 St  N subway R subway,,,,,,,,,
"3,867,990","3,819,141","3,848,745","3,968,334","4,094,658","4,158,863",Brooklyn,,,
7 Av  B subway Q subway ,,,,,,,,,
"3,064,214","2,953,368","2,824,839","2,905,400","2,932,926","2,980,366",Brooklyn,,,
7 Av F subway G subway,,,,,,,,,
"3,397,045","3,934,545","3,699,471","3,904,986","3,886,594","3,780,126",Brooklyn,,,
71 St D subway,,,,,,,,,
"1,332,009","1,115,321","1,191,257","1,446,020","1,481,633","1,487,929",Brooklyn,,,
77 St  R subway ,,,,,,,,,
"1,545,617","1,579,635","1,600,644","1,645,262","1,711,410","1,723,178",Brooklyn,,,
79 St  D subway,,,,,,,,,
"1,728,820","1,633,616","1,651,785","1,949,861","2,041,896","2,043,471",Brooklyn,,,
8 Av N subway,,,,,,,,,
"3,475,890","3,484,429","3,559,576","3,677,764","3,851,372","3,796,909",Brooklyn,,,
86 St  N subway,,,,,,,,,
"770,621","796,379","811,332","801,109","837,472","859,293",Brooklyn,,,
86 St  R subway,,,,,,,,,
"3,306,164","3,445,470","3,515,085","3,662,602","3,753,132","3,747,601",Brooklyn,,,
9 Av D subway,,,,,,,,,
"1,863,019","1,681,423","1,668,767","1,896,942","1,938,987","1,843,944",Brooklyn,,,
Alabama Av  J subway,,,,,,,,,
"712,714","759,581","772,447","770,075","784,998","814,578",Brooklyn,,,
Atlantic Av-Barclays Ctr B subway D subway N subway Q subway R subway 2 subway 3 subway 4 subway 5 subway,,,,,,,,,
"10,478,354","10,726,332","11,526,090","13,122,876","13,617,153","13,690,678",Brooklyn,,,
Atlantic Av  L subway,,,,,,,,,
"424,208","427,914","444,960","482,835","535,041","422,505",Brooklyn,,,
Avenue H Q subway,,,,,,,,,
"662,564","521,818","823,237","875,106","896,279","899,662",Brooklyn,,,
Avenue I  F subway,,,,,,,,,
"708,788","696,851","684,241","699,582","696,140","672,710",Brooklyn,,,
Avenue J  Q subway,,,,,,,,,
"2,059,453","2,085,557","1,807,574","1,867,576","1,850,087","1,848,674",Brooklyn,,,
Avenue M  Q subway,,,,,,,,,
"1,351,418","1,345,774","1,608,901","1,730,576","1,731,955","1,733,583",Brooklyn,,,
Avenue N  F subway,,,,,,,,,
"1,016,781","1,049,752","1,012,534","1,044,429","1,050,916","1,027,713",Brooklyn,,,
Avenue P  F subway,,,,,,,,,
"829,508","836,317","825,620","861,095","864,424","858,733",Brooklyn,,,
Avenue U  F subway,,,,,,,,,
"723,222","696,998","707,595","717,486","699,414","716,715",Brooklyn,,,
Avenue U  N subway,,,,,,,,,
"1,263,986","1,244,178","1,297,870","1,211,062","1,251,276","1,253,349",Brooklyn,,,
Avenue U  Q subway,,,,,,,,,
"1,325,173","2,136,714","2,071,874","2,176,073","2,175,035","2,231,577",Brooklyn,,,
Avenue X  F subway,,,,,,,,,
"843,207","854,737","860,597","908,520","892,170","589,962",Brooklyn,,,
Bay 50 St  D subway,,,,,,,,,
"969,133","920,243","777,836","847,843","884,302","872,953",Brooklyn,,,
Bay Pkwy  D subway,,,,,,,,,
"2,107,643","2,018,400","2,038,864","2,298,420","2,362,284","2,368,617",Brooklyn,,,
Bay Pkwy  F subway,,,,,,,,,
"427,277","434,564","464,906","487,308","478,322","460,536",Brooklyn,,,
Bay Pkwy  N subway,,,,,,,,,
"2,107,881","2,160,569","2,221,968","2,243,082","2,342,792","2,298,369",Brooklyn,,,
Bay Ridge Av R subway,,,,,,,,,
"2,483,394","2,538,150","2,522,369","2,525,470","2,597,559","2,623,309",Brooklyn,,,
Bay Ridge-95 St R subway,,,,,,,,,
"1,719,577","1,769,432","1,809,829","1,830,193","1,858,200","1,865,038",Brooklyn,,,
Bedford Av  L subway,,,,,,,,,
"7,418,203","7,738,863","8,342,397","9,214,395","9,892,516","9,388,289",Brooklyn,,,
Bedford-Nostrand Avs G subway ,,,,,,,,,
"1,895,163","2,012,606","2,138,852","2,348,998","2,513,681","2,634,066",Brooklyn,,,
Bergen St  2 subway 3 subway,,,,,,,,,
"1,265,510","1,326,721","1,397,036","1,296,199","1,236,513","1,210,571",Brooklyn,,,
Bergen St  F subway G subway,,,,,,,,,
"3,296,466","3,452,452","3,529,174","3,650,848","3,711,317","3,708,300",Brooklyn,,,
Beverley Rd Q subway,,,,,,,,,
"1,070,872","1,095,502","950,243","737,652","838,970","899,663",Brooklyn,,,
Beverly Rd  2 subway 5 subway,,,,,,,,,
"1,231,592","1,276,466","1,274,789","1,364,573","1,360,719","1,392,643",Brooklyn,,,
Brighton Beach B subway Q subway,,,,,,,,,
"3,995,043","3,842,789","3,781,554","3,810,743","3,872,092","4,014,831",Brooklyn,,,
Broadway  G subway,,,,,,,,,
"941,243","995,856","1,023,397","1,071,877","1,124,407","1,313,362",Brooklyn,,,
Broadway Junction A subway C subway J subway L subway Z subway,,,,,,,,,
"2,767,838","2,810,713","2,862,830","2,948,156","3,018,656","3,133,658",Brooklyn,,,
Bushwick Av-Aberdeen St L subway,,,,,,,,,
"398,834","405,385","427,032","490,042","563,577","598,393",Brooklyn,,,
Canarsie-Rockaway Pkwy L subway,,,,,,,,,
"3,806,903","3,865,823","3,920,243","4,062,690","4,175,970","4,024,313",Brooklyn,,,
Carroll St  F subway G subway,,,,,,,,,
"3,025,719","3,598,477","3,961,111","3,782,675","3,616,947","3,672,702",Brooklyn,,,
Central Av M subway,,,,,,,,,
"760,657","890,194","992,142","505,757","970,531","1,141,731",Brooklyn,,,
Chauncey St  J subway Z subway,,,,,,,,,
"898,984","966,989","964,735","938,803","959,091","1,045,698",Brooklyn,,,
Church Av  2 subway 5 subway,,,,,,,,,
"2,994,162","3,057,877","2,987,887","3,059,215","3,020,066","3,070,551",Brooklyn,,,
Church Av  B subway Q subway,,,,,,,,,
"4,654,613","4,665,059","4,982,615","5,603,898","5,482,093","5,707,573",Brooklyn,,,
Church Av  F subway G subway,,,,,,,,,
