2010,2011,2012,2013,2014,2015,Borough,,,
"1,130,601","1,133,831","1,142,008","1,216,019","1,221,048","1,243,976",Brooklyn,,,
Prospect Av  R subway,,,,,,,,,
"1,863,247","1,930,101","1,864,725","1,826,064","1,827,271","1,785,990",Brooklyn,,,
Prospect Park  B subway Q subway S subway,,,,,,,,,
"2,867,309","2,815,199","2,892,200","3,190,679","3,312,727","3,327,301",Brooklyn,,,
Ralph Av  C subway,,,,,,,,,
"1,529,747","1,585,546","1,625,548","1,719,602","1,787,157","1,867,793",Brooklyn,,,
Rockaway Av  3 subway,,,,,,,,,
"1,787,382","1,792,136","1,682,755","1,753,354","1,763,824","526,505",Brooklyn,,,
Rockaway Av  C subway,,,,,,,,,
"1,499,681","1,548,571","1,574,733","1,615,457","1,641,268","1,721,297",Brooklyn,,,
Saratoga Av 3 subway ,,,,,,,,,
"1,699,652","1,743,578","1,676,421","1,777,399","1,791,700","2,442,282",Brooklyn,,,
Sheepshead Bay B subway Q subway,,,,,,,,,
"4,481,755","4,096,449","4,148,629","4,205,275","4,201,776","4,296,566",Brooklyn,,,
Shepherd Av  C subway,,,,,,,,,
"917,964","930,613","945,113","988,620","1,027,404","1,059,106",Brooklyn,,,
Smith-9 Sts  F subway G subway,,,,,,,,,
"1,501,360","577,571",0,"926,087","1,539,209","1,636,221",Brooklyn,,,
Sterling St  2 subway 5 subway ,,,,,,,,,
"1,743,151","1,787,824","1,803,628","1,866,122","1,785,975","1,822,524",Brooklyn,,,
Sutter Av  L subway,,,,,,,,,
"1,280,175","1,303,422","1,383,957","1,449,524","1,499,122","1,453,567",Brooklyn,,,
Sutter Av-Rutland Rd 3 subway,,,,,,,,,
"2,317,306","2,370,949","2,288,256","2,419,794","2,467,381","2,420,464",Brooklyn,,,
Union St  R subway,,,,,,,,,
"2,126,492","2,228,520","2,148,505","2,058,555","2,065,047","2,073,096",Brooklyn,,,
Utica Av  A subway C subway ,,,,,,,,,
"4,272,623","4,437,282","4,530,536","4,726,582","4,878,678","5,060,099",Brooklyn,,,
Van Siclen Av  3 subway,,,,,,,,,
"1,023,416","1,061,359","1,016,466","1,060,055","1,048,755","304,082",Brooklyn,,,
Van Siclen Av  C subway,,,,,,,,,
"893,234","901,530","897,528","941,172","967,947","1,019,100",Brooklyn,,,
Van Siclen Av  J subway Z subway ,,,,,,,,,
"828,566","886,663","893,665","913,115","943,663","966,461",Brooklyn,,,
West 8 St-New York Aquarium F subway Q subway,,,,,,,,,
"867,792","814,749","767,921","702,810","741,345","789,416",Brooklyn,,,
Wilson Av L subway,,,,,,,,,
"1,089,448","1,093,030","1,115,994","1,243,700","1,393,045","1,407,098",Brooklyn,,,
Winthrop St  2 subway 5 subway,,,,,,,,,
"2,110,081","2,173,945","2,171,267","2,275,444","2,263,671","2,241,716",Brooklyn,,,
York St  F subway,,,,,,,,,
"2,041,208","2,251,649","2,344,141","2,666,502","2,760,385","2,900,416",Brooklyn,,,
1 Av L subway ,,,,,,,,,
"6,936,132","7,050,336","7,296,576","7,735,905","8,111,070","7,702,110",Manhattan,,,
103 St 1 subway,,,,,,,,,
"4,167,100","4,302,101","4,366,343","4,427,199","4,199,559","4,258,632",Manhattan,,,
103 St 6 subway,,,,,,,,,
"4,799,555","4,901,637","4,861,001","5,038,138","5,198,601","4,031,201",Manhattan,,,
103 St B subway C subway,,,,,,,,,
"1,556,919","1,453,267","1,472,319","1,528,633","1,555,514","1,521,132",Manhattan,,,
110 St 6 subway,,,,,,,,,
"3,722,821","3,771,563","3,740,549","3,841,826","3,955,522","4,209,449",Manhattan,,,
116 St 2 subway 3 subway ,,,,,,,,,
"3,225,207","3,439,949","3,584,234","3,715,803","3,845,140","3,948,545",Manhattan,,,
116 St 6 subway,,,,,,,,,
"5,100,170","5,253,753","5,264,035","5,347,692","5,370,343","5,324,072",Manhattan,,,
116 St B subway C subway,,,,,,,,,
"1,921,860","1,944,599","2,000,033","2,122,084","2,234,662","2,246,138",Manhattan,,,
116 St-Columbia University 1 subway,,,,,,,,,
"4,774,192","4,932,065","4,942,022","5,044,561","4,917,691","4,846,181",Manhattan,,,
125 St 1 subway,,,,,,,,,
"2,358,252","2,438,449","2,560,513","2,649,847","2,578,729","2,555,321",Manhattan,,,
125 St 2 subway 3 subway ,,,,,,,,,
"4,317,843","4,518,487","4,635,697","4,917,465","5,103,216","5,121,518",Manhattan,,,
125 St 4 subway 5 subway 6 subway,,,,,,,,,
"8,834,429","8,868,272","8,965,496","9,290,210","9,574,765","9,586,567",Manhattan,,,
125 St A subway B subway C subway D subway,,,,,,,,,
"8,003,946","8,173,608","8,427,453","8,932,680","9,342,667","9,558,837",Manhattan,,,
135 St 2 subway 3 subway ,,,,,,,,,
"4,043,860","4,344,677","4,477,110","4,672,352","4,932,623","4,949,583",Manhattan,,,
135 St B subway C subway,,,,,,,,,
"1,511,387","1,575,802","1,633,467","1,722,204","1,731,602","1,693,561",Manhattan,,,
137 St-City College 1 subway,,,,,,,,,
"4,436,971","4,546,654","4,634,498","4,825,267","4,542,044","4,646,578",Manhattan,,,
14 St A subway C subway E subway /8 Av L subway ,,,,,,,,,
"11,795,495","12,415,290","13,044,037","13,903,211","14,340,856","14,763,727",Manhattan,,,
14 St F subway M subway 1 subway 2 subway 3 subway /6 Av L subway ,,,,,,,,,
"15,029,178","15,199,211","15,487,097","15,844,699","16,215,866","16,121,318",Manhattan,,,
14 St-Union Sq L subway N subway Q subway R subway 4 subway 5 subway 6 subway,,,,,,,,,
"34,730,692","34,927,178","34,639,575","35,309,414","35,677,468","35,320,623",Manhattan,,,
145 St 1 subway,,,,,,,,,
"3,115,174","3,138,419","3,289,827","3,274,106","3,364,151","3,338,110",Manhattan,,,
145 St 3 subway,,,,,,,,,
"873,390","981,914","1,014,623","1,073,259","1,114,674","1,137,484",Manhattan,,,
145 St  A subway B subway C subway D subway,,,,,,,,,
"6,694,537","6,948,193","7,048,936","7,432,177","7,778,992","7,923,696",Manhattan,,,
155 St  B subway D subway,,,,,,,,,
"1,241,223","1,248,295","1,257,551","1,281,168","1,299,098","1,306,282",Manhattan,,,
155 St  C subway,,,,,,,,,
"735,801","792,465","798,881","822,333","852,716","842,826",Manhattan,,,
157 St 1 subway,,,,,,,,,
"3,238,373","3,259,408","3,381,015","3,458,058","3,481,873","3,516,545",Manhattan,,,
163 St-Amsterdam Av C subway,,,,,,,,,
"1,193,933","1,221,336","1,230,018","1,317,493","1,390,615","1,395,260",Manhattan,,,
168 St  A subway C subway 1 subway,,,,,,,,,
"7,325,739","7,500,154","7,503,282","7,884,456","8,090,476","8,009,233",Manhattan,,,
175 St  A subway,,,,,,,,,
"3,783,719","4,029,936","4,028,015","4,154,792","4,187,473","4,197,373",Manhattan,,,
18 St  1 subway,,,,,,,,,
"2,435,685","2,497,134","2,533,877","2,585,522","2,622,558","2,676,304",Manhattan,,,
181 St  1 subway,,,,,,,,,
"3,429,260","3,171,483","3,496,979","3,608,658","3,751,020","3,779,275",Manhattan,,,
181 St A subway,,,,,,,,,
"3,106,184","3,245,786","3,242,555","3,309,493","3,456,161","3,628,174",Manhattan,,,
190 St  A subway,,,,,,,,,
"1,287,568","1,445,656","1,473,807","1,472,564","1,458,911","1,530,460",Manhattan,,,
191 St  1 subway,,,,,,,,,
"2,344,317","2,318,562","2,512,719","2,598,961","2,700,904","2,713,440",Manhattan,,,
2 Av F subway,,,,,,,,,
"5,627,896","5,728,217","5,706,955","5,999,079","5,772,265","5,847,710",Manhattan,,,
207 St  1 subway,,,,,,,,,
"1,875,395","2,054,287","2,205,288","1,966,949","2,049,587","2,090,297",Manhattan,,,
215 St  1 subway,,,,,,,,,
"582,955","583,486","599,790","638,224","626,312","615,177",Manhattan,,,
23 St  1 subway,,,,,,,,,
"4,517,687","4,622,230","4,654,520","4,818,903","4,883,773","4,884,678",Manhattan,,,
23 St  6 subway,,,,,,,,,
"8,925,824","8,999,142","8,901,705","9,200,337","9,033,835","8,627,481",Manhattan,,,
23 St  C subway E subway,,,,,,,,,
"6,707,382","7,001,778","7,155,940","7,629,811","7,923,005","7,844,508",Manhattan,,,
23 St  F subway M subway,,,,,,,,,
"7,394,628","7,911,886","8,078,511","8,446,249","8,678,810","8,942,154",Manhattan,,,
23 St  N subway R subway,,,,,,,,,
"5,998,303","6,659,479","6,805,210","6,905,704","7,348,879","7,965,410",Manhattan,,,
28 St  1 subway,,,,,,,,,
"3,941,656","4,093,901","4,346,501","4,548,738","4,666,347","4,665,377",Manhattan,,,
28 St  6 subway,,,,,,,,,
"6,621,732","6,741,400","6,688,570","7,076,992","7,107,083","7,214,293",Manhattan,,,
28 St  N subway R subway,,,,,,,,,
"3,044,555","3,297,714","3,413,315","3,520,209","3,796,977","4,083,143",Manhattan,,,
3 Av L subway,,,,,,,,,
"2,060,364","2,048,408","2,182,023","2,310,062","2,473,561","2,386,533",Manhattan,,,
33 St  6 subway,,,,,,,,,
"9,090,245","9,220,240","9,374,676","9,756,409","9,798,598","9,701,723",Manhattan,,,
34 St-Herald Square B subway D subway F subway M subway N subway Q subway R subway,,,,,,,,,
"37,769,752","37,731,386","37,154,138","38,213,448","39,285,568","39,541,865",Manhattan,,,
34 St-Hudson Yards 7 subway,,,,,,,,,
,,,,,"692,165",Manhattan,,,
34 St-Penn Station 1 subway 2 subway 3 subway ,,,,,,,,,
"26,892,243","26,758,623","27,010,176","27,730,331","28,638,643","28,309,160",Manhattan,,,
34 St-Penn Station A subway C subway E subway ,,,,,,,,,
"24,265,016","24,751,771","24,851,746","25,726,374","26,493,571","26,147,434",Manhattan,,,
42 St-Bryant Pk B subway D subway F subway M subway /5 Av 7 subway,,,,,,,,,
"13,979,224","14,752,187","14,917,245","15,527,439","15,896,805","16,220,605",Manhattan,,,
47-50 Sts-Rockefeller Center B subway D subway F subway M subway,,,,,,,,,
"16,517,856","17,466,013","17,091,251","17,759,382","18,236,646","18,469,446",Manhattan,,,
49 St  N subway Q subway R subway,,,,,,,,,
"8,139,011","8,121,552","8,186,576","8,155,010","8,544,694","8,029,988",Manhattan,,,
5 Av-53 St  E subway M subway,,,,,,,,,
"6,309,404","6,519,696","6,744,422","7,298,061","7,543,062","7,597,212",Manhattan,,,
5 Av-59 St  N subway Q subway R subway,,,,,,,,,
"5,770,964","5,893,657","5,941,836","5,927,685","6,155,019","6,017,047",Manhattan,,,
50 St  1 subway,,,,,,,,,
"7,465,528","7,647,852","7,927,578","8,074,270","8,450,496","8,266,677",Manhattan,,,
50 St  C subway E subway,,,,,,,,,
"5,407,322","5,573,587","5,714,183","6,259,935","6,867,521","6,826,275",Manhattan,,,
57 St F subway,,,,,,,,,
"4,510,875","4,630,781","4,408,190","4,520,733","4,603,639","4,720,245",Manhattan,,,
57 St-7 Av  N subway Q subway R subway,,,,,,,,,
"8,804,794","8,613,792","8,726,980","8,945,751","9,314,649","9,512,090",Manhattan,,,
59 St-Columbus Circle A subway B subway C subway D subway 1 subway,,,,,,,,,
"20,711,058","21,300,892","21,599,586","22,774,421","23,566,961","23,299,666",Manhattan,,,
66 St-Lincoln Center 1 subway,,,,,,,,,
"6,783,446","7,089,390","7,367,599","7,527,781","7,772,308","7,790,234",Manhattan,,,
68 St-Hunter College 6 subway,,,,,,,,,
"10,165,641","10,481,234","10,373,302","10,520,477","10,545,971","10,237,854",Manhattan,,,
7 Av  B subway D subway E subway,,,,,,,,,
"4,136,423","4,297,779","4,384,090","4,744,808","5,092,341","5,252,615",Manhattan,,,
72 St  1 subway 2 subway 3 subway,,,,,,,,,
"12,136,784","12,784,301","13,043,031","13,456,906","13,375,012","13,341,361",Manhattan,,,
72 St  B subway C subway,,,,,,,,,
"2,760,109","2,787,379","2,832,934","2,942,517","3,015,722","2,979,236",Manhattan,,,
77 St  6 subway,,,,,,,,,
"10,819,466","11,163,007","11,109,431","11,167,386","11,454,604","11,014,861",Manhattan,,,
79 St  1 subway,,,,,,,,,
"5,113,161","5,330,857","5,292,422","5,438,078","5,601,595","5,534,255",Manhattan,,,
8 St-New York University N subway R subway,,,,,,,,,
"5,474,109","5,779,126","5,663,358","5,379,647","5,635,598","5,894,747",Manhattan,,,
81 St-Museum of Natural History B subway C subway,,,,,,,,,
"4,063,020","4,116,976","4,232,404","4,477,625","4,561,347","4,584,041",Manhattan,,,
86 St  1 subway,,,,,,,,,
"5,910,540","6,128,225","6,219,513","6,333,352","6,519,979","6,464,625",Manhattan,,,
86 St  4 subway 5 subway 6 subway,,,,,,,,,
"19,147,021","19,425,347","19,686,985","20,528,208","20,735,032","20,890,828",Manhattan,,,
86 St  B subway C subway,,,,,,,,,
"3,204,204","3,238,616","3,300,644","3,408,922","3,515,551","3,474,343",Manhattan,,,
96 St  1 subway 2 subway 3 subway,,,,,,,,,
"11,526,582","11,784,341","12,108,040","12,582,947","13,108,304","13,008,596",Manhattan,,,
96 St  6 subway,,,,,,,,,
"7,458,694","7,753,114","7,708,346","7,785,646","7,958,453","8,294,978",Manhattan,,,
96 St  B subway C subway,,,,,,,,,
"2,731,945","2,775,904","2,829,949","2,979,535","3,089,701","3,084,906",Manhattan,,,
Astor Place  6 subway,,,,,,,,,
"5,623,822","5,571,077","5,535,996","5,775,276","5,751,688","5,447,655",Manhattan,,,
Bowery  J subway Z subway,,,,,,,,,
"1,044,394","991,686","968,629","970,576","1,057,000","1,184,920",Manhattan,,,
Bowling Green  4 subway 5 subway,,,,,,,,,
"7,770,956","7,793,614","7,990,789","9,081,649","10,261,064","9,153,462",Manhattan,,,
Broad St J subway Z subway,,,,,,,,,
"1,636,627","1,473,717","1,315,012","1,436,506","1,662,905","1,834,780",Manhattan,,,
Broadway-Lafayette St B subway D subway F subway M subway /Bleecker St 6 subway,,,,,,,,,
"11,062,580","11,651,990","11,792,114","12,560,629","12,913,327","12,666,868",Manhattan,,,
Brooklyn Bridge-City Hall 4 subway 5 subway 6 subway /Chambers St J subway Z subway,,,,,,,,,
"10,783,128","10,681,037","10,650,508","10,721,984","10,938,927","10,481,576",Manhattan,,,
Canal St  1 subway,,,,,,,,,
"1,720,337","1,785,923","1,727,415","1,787,110","1,859,071","1,830,920",Manhattan,,,
Canal St  A subway C subway E subway,,,,,,,,,
"5,351,984","5,646,937","5,612,068","5,922,371","6,013,138","6,011,243",Manhattan,,,
Canal St  J subway N subway Q subway R subway Z subway 6 subway,,,,,,,,,
"16,007,057","15,577,018","15,529,659","15,227,139","15,104,077","15,094,135",Manhattan,,,
Cathedral Pkwy-110 St 1 subway,,,,,,,,,
"4,220,891","4,440,822","4,491,643","4,557,743","4,301,285","4,280,482",Manhattan,,,
Cathedral Pkwy-110 St B subway C subway,,,,,,,,,
"2,159,675","2,166,542","2,207,790","2,301,545","2,351,549","2,376,166",Manhattan,,,
Central Park North-110 St 2 subway 3 subway,,,,,,,,,
"2,532,019","2,724,841","2,808,386","2,932,790","3,110,140","3,188,551",Manhattan,,,
Chambers St  1 subway 2 subway 3 subway,,,,,,,,,
"6,273,448","6,554,728","6,603,287","6,755,281","6,973,674","7,054,771",Manhattan,,,
Chambers St  A subway C subway /WTC E subway /Park Place 2 subway 3 subway,,,,,,,,,
"14,760,127","15,458,781","15,364,366","15,641,210","16,088,983","16,910,084",Manhattan,,,
Christopher St-Sheridan Sq 1 subway,,,,,,,,,
"3,454,080","3,471,186","3,435,088","3,433,544","3,480,159","3,363,949",Manhattan,,,
City Hall  R subway,,,,,,,,,
"2,790,204","2,627,822","2,094,122","1,560,414","1,151,646","1,828,806",Manhattan,,,
Cortlandt St  1 subway,,,,,,,,,
0,0,0,0,0,,Manhattan,,,
Cortlandt St  R subway,,,,,,,,,
"1,130,741","1,640,638","2,062,289","1,601,732","1,500,040","2,713,532",Manhattan,,,
Delancey St  F subway /Essex St J subway M subway Z subway,,,,,,,,,
"6,745,791","7,172,867","7,280,936","7,759,914","7,909,365","8,226,975",Manhattan,,,
Dyckman St  1 subway,,,,,,,,,
"2,237,661","1,212,678","1,231,954","2,094,538","2,298,848","2,317,843",Manhattan,,,
Dyckman St  A subway,,,,,,,,,
"1,931,287","2,326,780","2,344,316","2,112,706","2,158,170","2,244,154",Manhattan,,,
East Broadway  F subway,,,,,,,,,
"4,001,149","4,057,707","4,021,679","4,208,654","4,379,909","4,576,662",Manhattan,,,
Franklin St  1 subway,,,,,,,,,
"1,719,780","1,777,323","1,714,218","1,703,889","1,745,841","1,731,354",Manhattan,,,
Fulton St  A subway C subway J subway Z subway 2 subway 3 subway 4 subway 5 subway,,,,,,,,,
"18,303,963","17,971,983","17,868,334","18,721,694","20,102,397","21,671,684",Manhattan,,,
Grand Central-42 St S subway 4 subway 5 subway 6 subway 7 subway,,,,,,,,,
"41,903,210","42,795,505","42,984,249","44,893,301","46,074,652","46,737,564",Manhattan,,,
Grand St  B subway D subway,,,,,,,,,
"7,746,428","7,770,139","7,658,249","7,994,060","8,131,543","8,010,864",Manhattan,,,
Harlem-148 St  3 subway ,,,,,,,,,
"989,568","1,101,666","1,110,842","1,171,372","1,209,633","1,269,910",Manhattan,,,
Houston St  1 subway,,,,,,,,,
"3,966,857","4,225,089","4,287,926","4,510,538","4,562,690","4,377,409",Manhattan,,,
Inwood-207 St  A subway,,,,,,,,,
"2,747,423","3,079,573","2,795,992","2,897,438","2,981,271","3,068,931",Manhattan,,,
Lexington Av  N subway Q subway R subway /59 St 4 subway 5 subway 6 subway,,,,,,,,,
"19,553,597","20,377,141","20,628,942","21,282,767","21,557,198","21,407,792",Manhattan,,,
Lexington Av-53 St E subway M subway /51 St 6 subway,,,,,,,,,
"18,025,148","18,948,032","19,280,036","20,262,110","20,513,370","20,479,923",Manhattan,,,
Lexington Av-63 St F subway,,,,,,,,,
"4,889,704","4,722,939","4,566,850","4,462,467","4,479,963","4,718,159",Manhattan,,,
Marble Hill-225 St 1 subway,,,,,,,,,
"1,769,012","1,476,489","1,721,707","1,725,406","1,846,582","1,809,998",Manhattan,,,
Prince St  N subway R subway,,,,,,,,,
"5,146,546","5,603,783","5,508,110","5,209,433","5,311,765","5,386,641",Manhattan,,,
Rector St  1 subway,,,,,,,,,
"2,366,733","2,636,681","3,055,453","3,398,383","3,393,420","3,042,815",Manhattan,,,
Rector St  R subway,,,,,,,,,
"2,463,933","2,413,512","2,053,706","1,524,110","1,116,833","1,896,968",Manhattan,,,
Roosevelt Island F subway,,,,,,,,,
"2,580,003","2,114,468","2,026,567","1,948,925","1,870,476","1,966,493",Manhattan,,,
South Ferry  1 subway /Whitehall St R subway,,,,,,,,,
"8,807,719","9,073,709","8,123,655","6,192,660","7,116,897","8,750,364",Manhattan,,,
Spring St  6 subway,,,,,,,,,
"3,727,534","3,887,184","3,999,949","4,123,703","4,169,799","3,804,403",Manhattan,,,
Spring St  C subway E subway,,,,,,,,,
"3,301,437","3,589,809","3,718,956","3,874,428","3,965,206","3,782,314",Manhattan,,,
Times Sq-42 St N subway Q subway R subway S subway 1 subway 2 subway 3 subway 7 subway /42 St A subway C subway E subway,,,,,,,,,
"58,422,597","60,604,822","62,069,437","63,617,614","65,948,730","66,359,208",Manhattan,,,
Wall St  2 subway 3 subway,,,,,,,,,
"6,919,577","7,016,078","7,034,940","7,473,489","7,845,023","7,650,853",Manhattan,,,
Wall St  4 subway 5 subway,,,,,,,,,
"6,393,591","6,526,692","6,658,687","7,231,884","7,437,325","6,708,745",Manhattan,,,
West 4 St-Washington Sq A subway B subway C subway D subway E subway F subway M subway,,,,,,,,,
"12,295,023","12,506,322","12,727,443","13,533,369","13,942,101","14,147,148",Manhattan,,,
103 St-Corona Plaza 7 subway,,,,,,,,,
"5,831,332","6,095,306","6,130,376","6,314,870","6,464,627","6,527,196",Queens,,,
104 St  A subway,,,,,,,,,
"503,835","523,212","507,774","516,000","388,144","538,400",Queens,,,
104 St  J subway Z subway,,,,,,,,,
"760,419","782,115","755,193","779,537","827,890","841,545",Queens,,,
111 St  7 subway,,,,,,,,,
"3,457,250","3,494,533","3,473,313","3,607,926","3,659,225","3,699,843",Queens,,,
111 St  A subway,,,,,,,,,
"771,073","798,886","796,622","795,820","802,831","767,647",Queens,,,
111 St  J subway,,,,,,,,,
"781,872","805,590","764,882","780,300","802,275","812,055",Queens,,,
121 St  J subway Z subway,,,,,,,,,
"663,832","694,567","664,855","688,985","766,469","788,674",Queens,,,
169 St  F subway,,,,,,,,,
"2,679,080","2,781,001","2,759,602","2,834,112","2,854,274","2,858,542",Queens,,,
21 St  G subway,,,,,,,,,
"319,984","364,597","469,173","422,616","427,353","533,529",Queens,,,
21 St-Queensbridge F subway,,,,,,,,,
"2,653,708","2,707,275","2,654,261","2,631,860","2,683,624","2,884,831",Queens,,,
30 Av  N subway Q subway,,,,,,,,,
"4,459,345","4,340,888","4,622,323","4,776,709","4,808,350","4,745,260",Queens,,,
33 St-Rawson St 7 subway,,,,,,,,,
"3,729,133","3,707,015","3,752,701","3,899,003","3,892,589","3,712,153",Queens,,,
36 Av  N subway Q subway,,,,,,,,,
"2,354,426","2,246,477","2,412,794","2,462,645","2,439,630","2,394,564",Queens,,,
36 St M subway R subway,,,,,,,,,
"1,128,415","1,238,985","1,257,059","1,278,109","1,307,054","1,339,754",Queens,,,
39 Av  N subway Q subway,,,,,,,,,
"868,691","823,763","930,291","1,012,381","1,104,375","1,072,026",Queens,,,
40 St-Lowery St 7 subway,,,,,,,,,
"3,370,172","3,378,636","3,393,418","3,483,507","3,496,675","3,421,569",Queens,,,
46 St M subway R subway,,,,,,,,,
"2,935,729","2,964,965","2,978,233","3,014,082","3,021,219","2,956,981",Queens,,,
46 St-Bliss St 7 subway,,,,,,,,,
"4,704,924","4,683,092","4,638,262","4,734,334","4,695,672","4,593,351",Queens,,,
52 St  7 subway,,,,,,,,,
"2,080,234","2,117,202","2,138,307","2,182,725","2,214,115","2,177,884",Queens,,,
63 Dr-Rego Park M subway R subway,,,,,,,,,
"4,660,828","4,891,415","4,998,378","5,129,203","5,272,014","5,244,226",Queens,,,
65 St M subway R subway,,,,,,,,,
"1,065,702","1,098,734","1,131,591","1,124,823","1,159,576","1,192,281",Queens,,,
67 Av M subway R subway,,,,,,,,,
"2,757,795","2,791,494","2,770,364","2,818,350","2,851,905","2,853,794",Queens,,,
69 St  7 subway,,,,,,,,,
"1,696,216","1,649,055","1,647,057","1,671,584","1,685,222","1,629,526",Queens,,,
74-Bway  7 subway /Jackson Hts-Roosevelt Av E subway F subway M subway R subway,,,,,,,,,
"16,279,556","16,377,496","16,366,669","16,864,938","17,087,795","17,224,537",Queens,,,
75 Av  E subway F subway,,,,,,,,,
"1,134,336","1,171,380","1,130,707","1,155,836","1,131,705","1,136,305",Queens,,,
75 St-Elderts Ln J subway Z subway,,,,,,,,,
"1,102,869","1,128,911","1,107,947","1,138,544","1,172,162","1,196,186",Queens,,,
80 St  A subway,,,,,,,,,
"1,259,783","1,283,827","1,294,099","1,310,413","1,507,116","1,465,264",Queens,,,
82 St-Jackson Hts 7 subway,,,,,,,,,
"5,110,694","5,163,208","5,013,810","5,139,172","5,172,595","5,128,506",Queens,,,
85 St-Forest Pkwy J subway,,,,,,,,,
"1,100,059","1,138,842","1,125,639","1,157,863","1,212,661","1,239,793",Queens,,,
88 St  A subway ,,,,,,,,,
"790,264","805,054","792,615","808,822","613,296","1,011,163",Queens,,,
90 St-Elmhurst Av 7 subway,,,,,,,,,
"5,482,132","5,480,782","5,428,872","5,513,135","5,480,059","5,489,630",Queens,,,
Aqueduct Racetrack A subway,,,,,,,,,
"29,644","54,183",0,"213,601","630,644","672,734",Queens,,,
Aqueduct-North Conduit Av A subway,,,,,,,,,
"238,119","474,915","890,505","698,115","357,399","365,488",Queens,,,
Astoria Blvd  N subway Q subway,,,,,,,,,
"3,621,730","3,850,546","3,871,213","3,962,838","3,914,637","3,926,062",Queens,,,
Astoria-Ditmars Blvd N subway Q subway,,,,,,,,,
"5,102,415","5,203,409","5,233,305","5,405,084","5,416,919","5,407,027",Queens,,,
Beach 105 St  A subway S subway,,,,,,,,,
"65,802","80,580","82,088","48,916","82,980","99,254",Queens,,,
Beach 25 St  A subway,,,,,,,,,
"388,387","501,037","437,602","267,585","519,843","570,312",Queens,,,
Beach 36 St  A subway,,,,,,,,,
"326,592","192,676","217,880","143,400","272,799","296,860",Queens,,,
Beach 44 St  A subway,,,,,,,,,
"143,788","225,250","161,946","91,331","181,758","197,543",Queens,,,
Beach 60 St  A subway,,,,,,,,,
"789,468","555,937","588,970","406,698","772,376","801,015",Queens,,,
Beach 67 St-Arverne By The Sea A subway,,,,,,,,,
"473,942","681,006","572,418","357,807","701,784","799,134",Queens,,,
Beach 90 St  A subway S subway,,,,,,,,,
"338,595","387,012","305,397","194,416","306,284","333,006",Queens,,,
Beach 98 St  A subway S subway,,,,,,,,,
"215,474","198,503","193,332","100,594","200,197","214,040",Queens,,,
Briarwood-Van Wyck Blvd E subway F subway,,,,,,,,,
"1,752,198","1,730,276","1,563,242","1,427,813","1,427,017","1,479,278",Queens,,,
Broad Channel  A subway S subway,,,,,,,,,
"92,523","88,837","75,969","36,849","74,386","91,766",Queens,,,
Broadway  N subway Q subway,,,,,,,,,
"4,078,606","4,007,018","4,161,120","4,325,297","4,407,347","4,300,632",Queens,,,
Court Sq  E subway G subway M subway 7 subway,,,,,,,,,
"7,249,807","6,334,869","5,340,581","6,072,768","6,664,442","6,730,837",Queens,,,
Elmhurst Av  M subway R subway,,,,,,,,,
"4,228,036","4,338,857","4,344,648","4,343,633","4,362,316","4,350,714",Queens,,,
Far Rockaway-Mott Av A subway,,,,,,,,,
"1,374,989","1,426,835","1,217,871","806,025","1,486,147","1,576,988",Queens,,,
Flushing-Main St 7 subway,,,,,,,,,
"18,630,490","18,967,751","19,034,789","19,102,434","19,085,948","19,082,391",Queens,,,
Forest Av  M subway,,,,,,,,,
"1,045,413","1,172,881","1,134,938","1,179,301","1,235,376","1,317,289",Queens,,,
Forest Hills-71 Av E subway F subway M subway R subway,,,,,,,,,
"8,137,277","8,316,825","8,342,293","8,573,480","8,585,239","8,654,547",Queens,,,
Fresh Pond Rd  M subway,,,,,,,,,
"1,453,610","1,617,252","1,590,304","1,534,754","1,676,862","1,806,429",Queens,,,
Grand Av-Newtown M subway R subway,,,,,,,,,
"5,564,842","5,721,038","5,741,626","5,832,568","5,861,823","5,995,764",Queens,,,
Howard Beach-JFK Airport A subway,,,,,,,,,
"908,576","928,529","1,074,516","1,626,984","963,503","1,041,816",Queens,,,
Hunters Point Av 7 subway,,,,,,,,,
"1,623,490","1,655,252","1,704,114","1,710,103","1,791,109","1,848,769",Queens,,,
Jamaica Center-Parsons-Archer E subway J subway Z subway,,,,,,,,,
"11,656,110","12,147,163","12,204,423","12,507,906","12,784,635","12,622,977",Queens,,,
Jamaica-179 St F subway,,,,,,,,,
"6,711,779","6,818,728","6,767,423","6,868,439","6,818,494","6,898,938",Queens,,,
Jamaica-Van Wyck E subway,,,,,,,,,
"1,421,186","1,527,249","1,552,178","1,565,998","1,587,413","1,545,016",Queens,,,
Junction Blvd  7 subway,,,,,,,,,
"7,140,456","6,963,489","6,784,942","6,816,700","6,946,966","7,064,435",Queens,,,
Kew Gardens-Union Turnpike E subway F subway,,,,,,,,,
"8,170,406","8,179,749","8,296,905","8,609,185","8,363,109","8,354,731",Queens,,,
Mets-Willets Point 7 subway,,,,,,,,,
"1,856,485","1,729,243","1,693,024","1,902,121","1,875,472","2,120,859",Queens,,,
Middle Village-Metropolitan Av M subway,,,,,,,,,
"1,124,754","1,220,377","1,189,616","1,200,171","1,300,110","1,361,246",Queens,,,
Northern Blvd  M subway R subway,,,,,,,,,
"2,204,923","2,184,353","2,214,223","2,239,136","2,290,836","2,282,296",Queens,,,
Ozone Park-Lefferts Blvd A subway,,,,,,,,,
