,Date,Count
1,2010-1-1,2343
2,2008-1-1,2273
3,2007-1-1,2259
4,2011-1-1,2253
5,2014-1-1,2211
6,2006-1-1,2156
7,2007-8-1,2053
8,2009-1-1,2036
9,2013-1-1,2030
10,2012-1-1,2025
